image_path,caption
data/flickr30k_images/flickr30k_images//2653493856.jpg,a young boy playing with a game
data/flickr30k_images/flickr30k_images//70758995.jpg,a young boy is sleeping in a stroller
data/flickr30k_images/flickr30k_images//4543013263.jpg,a man in a red jacket and hat is looking at something in a man in a red jacket
data/flickr30k_images/flickr30k_images//2869726815.jpg,a man in a white shirt is stacking wooden planks
data/flickr30k_images/flickr30k_images//6032301402.jpg,a man with a hat and a blue shirt is standing in a field of wildflowers
data/flickr30k_images/flickr30k_images//170614554.jpg,a group of young children are gathered around a red car
data/flickr30k_images/flickr30k_images//3426789838.jpg,a young boy jumps off a small boat into the ocean
data/flickr30k_images/flickr30k_images//6893619011.jpg,two men in hard hats are looking over a structure
data/flickr30k_images/flickr30k_images//6972691908.jpg,a man with a helmet is carrying a large white plastic bag
data/flickr30k_images/flickr30k_images//3501781809.jpg,a man on a bike is jumping over a crowd of people
data/flickr30k_images/flickr30k_images//7088933987.jpg,a woman in a red apron is preparing food in a kitchen
data/flickr30k_images/flickr30k_images//2760167.jpg,a choir of men in formal attire singing
data/flickr30k_images/flickr30k_images//4874913189.jpg,two dogs are looking at a man who is wearing a white shirt and black backpack and white pants are sitting next to a bike
data/flickr30k_images/flickr30k_images//7915147578.jpg,two swimmers in a pool with water bottles and one of them is trying to get the ball
data/flickr30k_images/flickr30k_images//4543597747.jpg,two dogs are pulling a man on a leash
data/flickr30k_images/flickr30k_images//2278766574.jpg,a group of people walking down a road
data/flickr30k_images/flickr30k_images//4844409798.jpg,a young boy in a red shirt and blue jeans is walking in the street
data/flickr30k_images/flickr30k_images//7362640920.jpg,a child in a helmet riding a bike down a dirt road
data/flickr30k_images/flickr30k_images//3870112265.jpg,a man in a black jacket is holding a [UNK] and smiling
data/flickr30k_images/flickr30k_images//4874913189.jpg,two dogs are looking at a man who is wearing a white shirt and black backpack and white pants are sitting next to a bike
data/flickr30k_images/flickr30k_images//6436370499.jpg,a snowboarder is grinding on a rail
data/flickr30k_images/flickr30k_images//2760167.jpg,a choir of men in formal attire singing
data/flickr30k_images/flickr30k_images//8664920.jpg,a man is using a telescope
data/flickr30k_images/flickr30k_images//4625651551.jpg,two young girls in sunglasses are standing near the water
data/flickr30k_images/flickr30k_images//7348157814.jpg,a young girl wearing a red helmet riding a brown horse in a grassy area
data/flickr30k_images/flickr30k_images//2176364472.jpg,a brown dog is walking down a ramp with his dog
data/flickr30k_images/flickr30k_images//876964091.jpg,a man is sitting on a couch in a house
data/flickr30k_images/flickr30k_images//17744613.jpg,a man is bowling with a bowling alley
data/flickr30k_images/flickr30k_images//2330765551.jpg,two people riding bikes on a grassy hill
data/flickr30k_images/flickr30k_images//6136127574.jpg,a man riding a bike in a dirt bike race
data/flickr30k_images/flickr30k_images//2314732154.jpg,a brown dog is laying in the grass
data/flickr30k_images/flickr30k_images//4074803780.jpg,a man in a yellow shirt is walking down the street
data/flickr30k_images/flickr30k_images//4086326509.jpg,a group of women and a group of young women are standing in a large crowd of people
data/flickr30k_images/flickr30k_images//3887721909.jpg,two women in dresses and a straw hat sit on a bench
data/flickr30k_images/flickr30k_images//2393971707.jpg,a woman in a red and black jacket walking down a staircase
data/flickr30k_images/flickr30k_images//542605701.jpg,a boy in a red shirt and a man in a red shirt is standing on a roof
data/flickr30k_images/flickr30k_images//3380364224.jpg,a snowboarder flies through the air on a snowy hill
data/flickr30k_images/flickr30k_images//95021247.jpg,a woman is rolling up a large amount of wool
data/flickr30k_images/flickr30k_images//2595397765.jpg,a woman and a boy are eating at a table
data/flickr30k_images/flickr30k_images//7672048656.jpg,a young girl in a white dress and a boy in a tuxedo are standing next to a boy and a girl in a wedding dress
data/flickr30k_images/flickr30k_images//2215331791.jpg,a woman in a black coat is kneeling on the sidewalk
data/flickr30k_images/flickr30k_images//5067768316.jpg,a man wearing white and black and white helmet is sitting on a bike
data/flickr30k_images/flickr30k_images//3600221224.jpg,a brown dog is running up a trail
data/flickr30k_images/flickr30k_images//2156952166.jpg,a man in a striped shirt stands on a hill looking at the ocean
data/flickr30k_images/flickr30k_images//2679565682.jpg,a man with a beard and a woman in a black hat is holding a camera
data/flickr30k_images/flickr30k_images//6954663021.jpg,a little girl in a yellow dress is sitting in a swing
data/flickr30k_images/flickr30k_images//4523882717.jpg,a man and a woman are sitting in a subway
data/flickr30k_images/flickr30k_images//2846785268.jpg,a man jumping over a yellow barrier
data/flickr30k_images/flickr30k_images//4678920190.jpg,a busy street with a lot of people walking around
data/flickr30k_images/flickr30k_images//200778857.jpg,a little boy is kicking a soccer ball
